collected_at,type,title,year,trakt_rating,trakt_id,imdb_id,tmdb_id,url,released,runtime,genres
2023-05-08T03:10:11Z,movie,Bad Boys,1983,7.21086,8065,tt0085210,13633,https://trakt.tv/movies/bad-boys-1983,1983-03-25,123,"crime,drama,thriller"
2023-05-08T03:10:05Z,movie,Bad Boys for Life,2020,7.0024,25039,tt1502397,38700,https://trakt.tv/movies/bad-boys-for-life-2020,2020-01-17,124,"action,crime,thriller"
2023-05-08T03:09:56Z,movie,Bad Boys II,2003,7.1211,4429,tt0172156,8961,https://trakt.tv/movies/bad-boys-ii-2003,2003-07-18,146,"action,comedy,crime"
2025-03-17T12:21:52Z,movie,Bad Boys: Ride or Die,2024,7.14382,424256,tt4919268,573435,https://trakt.tv/movies/bad-boys-ride-or-die-2024,2024-06-07,115,"action,comedy,crime,thriller,adventure"
2023-06-12T18:12:26Z,movie,Bad Company,2002,6.2477,2101,tt0280486,3132,https://trakt.tv/movies/bad-company-2002,2002-06-07,116,"action,adventure,comedy,thriller"
2023-08-25T17:59:05Z,movie,Bad Karma,2012,5.23333,84827,tt1847548,122796,https://trakt.tv/movies/bad-karma-2012,2012-09-12,87,thriller
2023-08-07T20:29:14Z,movie,Bad Lieutenant: Port of Call - New Orleans,2009,6.3713,6771,tt1095217,11699,https://trakt.tv/movies/bad-lieutenant-port-of-call-new-orleans-2009,2009-11-20,122,"crime,drama"
2023-06-21T15:09:52Z,movie,Bad Santa,2003,7.07347,5363,tt0307987,10147,https://trakt.tv/movies/bad-santa-2003,2003-11-26,92,"comedy,crime,drama,holiday"
2023-06-21T15:10:28Z,movie,Bad Santa 2,2016,6.55815,219429,tt1798603,338964,https://trakt.tv/movies/bad-santa-2-2016,2016-11-23,92,"comedy,crime,mystery,holiday"
2023-05-12T16:07:55Z,movie,Bad Teacher,2011,5.89158,36940,tt1284575,52449,https://trakt.tv/movies/bad-teacher-2011,2011-06-19,92,comedy
